PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupId,GroupSize,is_alone,Cabin_side,Cabin_num,spend_money,HP_Earth,HP_Europa,HP_Mars,D_55 Cancri e,D_PSO J318.5-22,D_TRAPPIST-1e,Cabin_deck_F,Cabin_deck_G,Cabin_deck_Other
0001_01,0,0.7109368667987588,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,False,-1.7254956326451785,0.0,1,0,-1.1829050241838628,-0.540420086525047,0,1,0,0,0,1,0,0,1
0002_01,0,-0.33169318435880984,0,-0.1758846823081166,-0.2819307726168558,-0.2538476771758133,0.21494791248152678,-0.22434231206723393,True,-1.7251233042069907,0.0,1,1,-1.1829050241838628,-0.2688880710560181,1,0,0,0,0,1,1,0,0
0003_01,0,2.0316015982650124,1,-0.2778039799201457,1.9917485510317683,-0.29618214369983203,5.7265122209980515,-0.22006404505591134,False,-1.7247509757688029,0.14285714285714285,0,1,-1.1829050241838628,3.290173550180017,0,1,0,0,0,1,0,0,1
0003_02,0,0.2938848463357313,0,-0.34420594654616465,0.5301430873013799,0.3320613395166066,2.699889329555146,-0.09684995512982061,False,-1.7247509757688029,0.14285714285714285,0,1,-1.1829050241838628,1.3691583266104064,0,1,0,0,0,1,0,0,1
0004_01,0,-0.8877625449761798,0,0.1236962833999689,-0.24304811527383194,-0.04048196589475865,0.22924973358698647,-0.26027975496234373,True,-1.724378647330615,0.0,1,1,-1.1809438678446649,-0.1379181451164729,1,0,0,0,0,1,1,0,0
0005_01,0,1.0584802171846148,0,-0.34420594654616465,0.020206597556804925,-0.29618214369983203,-0.01566895284401057,-0.26199106176687276,True,-1.7240063188924273,0.0,1,0,-1.1829050241838628,-0.2548687550399541,1,0,0,0,1,0,1,0,0
0006_01,0,-0.19267584420446737,0,-0.27934821170214613,0.693322764019644,-0.29110200771694983,-0.27578332419955853,-0.26199106176687276,True,-1.7236339904542395,0.14285714285714285,0,1,-1.178982711505467,0.04396403372351522,1,0,0,0,0,1,1,0,0
0006_02,1,-0.053658504050124886,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.14251247735538847,True,-1.7236339904542395,0.14285714285714285,0,1,-1.1829050241838628,-0.540420086525047,1,0,0,0,0,1,0,1,0
0007_01,0,0.4329021864900738,0,-0.34420594654616465,0.212707622435382,-0.2673947064634993,-0.08270873927585283,-0.26199106176687276,True,-1.7232616620160515,0.0,1,1,-1.177021555166269,-0.16484998904206952,1,0,0,0,0,1,1,0,0
0008_01,1,-1.0267798851305223,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.7228893335778637,0.2857142857142857,0,0,-1.1809438678446649,-0.540420086525047,0,1,0,1,0,0,0,0,1
0008_02,1,0.3633935164129025,0,-0.34420594654616465,-0.28766755812648226,,-0.27578332419955853,-0.26199106176687276,True,-1.7228893335778637,0.2857142857142857,0,0,-1.1809438678446649,-0.540420086525047,0,1,0,0,0,1,0,0,1
0008_03,0,1.1279888872617863,0,-0.28398090704814744,4.362315807731862,0.7012178876060503,-0.1774583040995232,-0.15589003988607242,True,-1.7228893335778637,0.2857142857142857,0,0,-1.1809438678446649,2.4689367751337423,0,1,0,1,0,0,0,0,1
0009_01,0,0.22437617625856007,0,-0.23147702646013246,-0.28766755812648226,1.6054820925590914,-0.27578332419955853,-0.16530222731098212,True,-1.7225170051396759,0.0,1,0,-1.1809438678446649,-0.057491542708526834,0,0,1,0,0,1,1,0,0
0010_01,0,1.3365148974932999,0,0.7660967047121522,-0.2870301375143015,-0.18611253073738324,-0.27578332419955853,-0.24145538011252432,False,-1.722144676701488,0.0,1,1,-1.1809438678446649,-0.24195622713042148,1,0,0,0,0,1,0,1,0
0011_01,0,-0.053658504050124886,0,-0.3318520922901611,0.33318011813753784,-0.27586159976830305,-0.27399559656137606,-0.2560014879510211,True,-1.7217723482633003,0.0,1,0,-1.178982711505467,-0.17038392957472637,1,0,0,0,0,1,1,0,0
0012_01,0,0.15486750618138884,0,-0.2947905295221505,-0.28766755812648226,1.1872175633017858,-0.27578332419955853,-0.26199106176687276,False,-1.7214000198251125,0.0,1,0,-1.1831914372933074,-0.20543221961488634,1,0,0,0,0,1,0,1,0
0014_01,0,-0.12316717412729612,0,1.6416761251064023,-0.20990224344043457,,-0.27578332419955853,-0.26199106176687276,False,-1.7206553629487369,0.0,1,0,-1.177021555166269,0.30721442599453375,0,0,1,1,0,0,1,0,0
0015_01,0,-0.33169318435880984,0,-0.34420594654616465,-0.2870301375143015,-0.29618214369983203,-0.27578332419955853,0.2830601554756258,False,-1.7202830345105489,0.0,1,0,-1.1750603988270711,-0.3050431492027095,1,0,0,1,0,0,1,0,0
0016_01,1,1.1279888872617863,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.719910706072361,0.0,1,0,-1.1730992424878732,-0.540420086525047,0,0,1,0,0,1,1,0,0
0017_01,0,-1.9999012662109195,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.7195383776341733,0.14285714285714285,0,0,-1.1829050241838628,-0.540420086525047,1,0,0,0,0,1,0,1,0
0017_02,0,-1.0267798851305223,0,0.29201754763801696,-0.28766755812648226,-0.2944887650388713,-0.27578332419955853,0.3189975983707356,False,-1.7195383776341733,0.14285714285714285,0,0,-1.1711380861486753,-0.1375492157476291,1,0,0,1,0,0,1,0,0
0020_01,1,-1.9303925961337483,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,False,-1.7184213923196099,0.7142857142857142,0,1,-1.1829050241838628,-0.540420086525047,1,0,0,0,0,1,0,0,1
0020_02,1,1.406023567570471,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,False,-1.7184213923196099,0.7142857142857142,0,1,-1.1829050241838628,-0.540420086525047,1,0,0,1,0,0,0,0,1
0020_03,1,0.015850166027046354,0,-0.34420594654616465,-0.28766755812648226,,-0.27578332419955853,-0.26199106176687276,False,-1.7184213923196099,0.7142857142857142,0,1,-1.1829050241838628,-0.540420086525047,1,0,0,1,0,0,0,0,1
0020_04,0,-1.3048145654392072,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.7184213923196099,0.7142857142857142,0,1,-1.1829050241838628,-0.540420086525047,1,0,0,0,0,1,0,0,1
0020_05,1,-1.9303925961337483,0,,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,False,-1.7184213923196099,0.7142857142857142,0,1,-1.1829050241838628,-0.540420086525047,1,0,0,0,1,0,0,0,1
0020_06,0,-1.5133405756707208,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,False,-1.7184213923196099,0.7142857142857142,0,1,-1.1829050241838628,-0.540420086525047,1,0,0,0,0,1,0,0,1
0022_01,0,-0.5402191945903235,0,1.1691411998142673,-0.2863927169021208,-0.17933901609354022,-0.27578332419955853,-0.26199106176687276,False,-1.7176767354432343,0.0,1,0,-1.1829050241838628,-0.15267531987022448,0,0,1,0,0,1,0,0,1
0024_01,1,2.3096362785736972,0,-0.34420594654616465,-0.28766755812648226,,-0.27578332419955853,-0.26199106176687276,True,-1.7169320785668585,0.0,1,1,-1.178982711505467,-0.540420086525047,0,1,0,0,0,1,0,0,1
0025_01,0,-0.957271215053351,0,-0.34420594654616465,-0.14424792038582052,-0.29618214369983203,0.6162927672534891,-0.26199106176687276,False,-1.7165597501286707,0.0,1,1,-1.1711380861486753,-0.08921946842909272,1,0,0,0,0,1,1,0,0
0026_01,0,0.3633935164129025,0,-0.31023284734215495,3.583387819647023,-0.29618214369983203,1.0095928476536304,0.01866325417588944,False,-1.7161874216904829,0.0,1,0,-1.1829050241838628,2.3597336819559804,0,1,0,1,0,0,0,0,1
0028_01,0,0.9889715471074437,0,1.393054808204331,-0.28766755812648226,-0.06588264580916992,-0.2328778608831795,-0.26199106176687276,False,-1.7154427648141073,0.0,1,0,-1.1672157734702795,-0.057491542708526834,0,0,1,0,0,1,1,0,0
0030_01,0,0.22437617625856007,0,-0.34420594654616465,0.2541399622271287,-0.15901847216201123,0.11483516474330903,0.1256199294589543,False,-1.7146981079377317,0.0,1,1,-1.1750603988270711,0.13140029413949328,1,0,0,0,0,1,0,1,0
0031_01,0,1.2670062274161287,0,-0.013740345198070325,-0.28766755812648226,2.0931751469157875,-0.27578332419955853,0.789606969616221,True,-1.7143257794995437,0.2857142857142857,0,0,-1.1652546171310816,0.5125043321551276,0,0,1,0,0,1,1,0,0
0031_02,0,-1.860883926056577,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.7143257794995437,0.2857142857142857,0,0,-1.1652546171310816,-0.540420086525047,0,0,1,0,0,1,1,0,0
0031_03,0,-0.6097278646674948,0,,-0.28766755812648226,2.667230512981482,0.6091418567007593,-0.26199106176687276,True,-1.7143257794995437,0.2857142857142857,0,0,-1.1652546171310816,0.30721442599453375,0,0,1,0,0,1,1,0,0
0034_01,1,-0.053658504050124886,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.7132087941849803,0.0,1,1,-1.1809438678446649,-0.540420086525047,0,1,0,1,0,0,0,0,1
0035_01,0,-0.40120185443598105,0,0.8664717705421808,0.3268059120157306,-0.29618214369983203,0.5742811677562013,-0.26199106176687276,False,-1.7128364657467925,0.0,1,0,-1.1809438678446649,0.45532027998434027,0,0,1,1,0,0,0,0,1
0036_01,0,-0.957271215053351,0,-0.34420594654616465,0.025943383066431396,-0.214899967973716,-0.2579060478177339,0.08112595254119932,False,-1.7124641373086047,0.0,1,1,-1.1672157734702795,-0.1858789630661655,1,0,0,1,0,0,1,0,0
0038_01,0,-0.6097278646674948,0,0.5112984606820795,-0.16337053875124208,-0.29618214369983203,2.053625788352187,-0.26199106176687276,False,-1.711719480432229,0.0,1,1,-1.1632934607918837,0.6973379459458661,1,0,0,1,0,0,1,0,0
0039_01,1,0.08535883610421759,0,-0.34420594654616465,-0.28766755812648226,,-0.27578332419955853,-0.26199106176687276,False,-1.7113471519940413,0.0,1,0,-1.1809438678446649,-0.540420086525047,1,0,0,1,0,0,0,1,0
0041_01,1,-0.8182538748990085,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.7106024951176655,0.0,1,0,-1.178982711505467,-0.540420086525047,1,0,0,0,0,1,0,1,0
0043_01,0,1.1279888872617863,0,-0.34420594654616465,-0.18313057772884436,-0.21998010395659826,1.96870872553852,0.4695925971692909,False,-1.70985783824129,0.0,1,0,-1.177021555166269,0.7785024070914998,0,1,0,0,0,1,0,0,1
0044_01,1,1.8230755880334986,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,False,-1.709485509803102,0.2857142857142857,0,0,-1.177021555166269,-0.540420086525047,1,0,0,0,0,1,0,1,0
0044_02,1,-1.7218665859022346,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.709485509803102,0.2857142857142857,0,0,-1.177021555166269,-0.540420086525047,1,0,0,1,0,0,0,1,0
0044_03,1,-0.5402191945903235,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.709485509803102,0.2857142857142857,0,0,-1.177021555166269,-0.540420086525047,1,0,0,0,1,0,0,1,0
0045_01,0,-0.5402191945903235,0,1.1536988819942628,-0.28766755812648226,0.008626015273103131,-0.27578332419955853,-0.20722924402194356,False,-1.7091131813649143,0.14285714285714285,0,0,-1.1632934607918837,-0.09253983274868682,0,0,1,0,0,1,1,0,0
0045_02,1,-0.679236534744666,0,-0.34420594654616465,-0.28766755812648226,-0.29618214369983203,-0.27578332419955853,-0.26199106176687276,True,-1.7091131813649143,0.14285714285714285,0,0,-1.1632934607918837,-0.540420086525047,0,0,1,0,0,1,1,0,0
0050_01,0,0.4329021864900738,0,0.8757371612341835,-0.28766755812648226,-0.29618214369983203,-0.14999796396539664,-0.26199106176687276,False,-1.707251539173975,0.0,1,1,-1.1809438678446649,0.30721442599453375,1,0,0,1,0,0,0,0,1
0051_01,0,1.8925842581106698,0,-0.34420594654616465,-0.21627644956224173,-0.29618214369983203,0.9568548823272478,-0.15332307967927886,False,-1.7068792107357873,0.0,1,1,-1.178982711505467,0.05650763226420405,1,0,0,0,0,1,0,0,1
